applicant_id,age,monthly_income,annual_income,employment_type,years_employed,existing_loans,credit_score,emi_to_income_ratio,geo_mismatch,video_stress_score,default_label
dfcf81f5,38,49486,593840,salaried,1,1,642,0.578,0,0.6076,1
43b6c002,24,15265,183185,student,0,0,633,0.1511,0,0.491,0
6a42f7ba,42,31421,377061,student,3,0,723,0.5814,0,0.4481,1
5076c3ae,44,21425,257100,student,6,2,779,0.3712,0,0.3908,0
28a88e7f,21,126975,1523702,student,0,1,544,0.3135,0,0.5751,1
dc522b43,21,22279,267348,self_employed,0,1,859,0.3753,1,0.1984,0
83c72df1,36,17842,214111,self_employed,0,1,727,0.3302,0,0.2859,0
5afc1cad,31,10061,120733,business,0,1,655,0.5124,1,0.6298,1
81be02ad,34,21955,263469,salaried,2,3,669,0.4815,0,0.281,0
aae6c5bc,26,36989,443871,salaried,1,0,672,0.4261,0,0.4231,0
90ae0df5,43,57088,685066,business,9,0,607,0.5301,0,0.2447,1
b5d0564f,42,21623,259479,salaried,7,0,864,0.562,0,0.5297,1
dfbb8204,35,59294,711530,salaried,0,2,694,0.3915,0,0.1739,0
0c6957f3,46,34011,408133,business,11,0,740,0.5206,0,0.2257,1
423051e3,39,28132,337585,business,1,1,615,0.4919,0,0.458,0
6f202cda,26,37830,453970,salaried,2,2,648,0.5005,0,0.3776,1
eb153faa,38,66238,794856,salaried,6,1,593,0.3976,0,0.208,0
5fb3b690,25,35814,429771,salaried,0,0,807,0.1488,0,0.2526,0
bab8f2da,43,21255,255069,self_employed,7,1,680,0.4227,0,0.3822,0
6cae876a,34,42360,508323,salaried,6,1,701,0.5533,0,0.3095,1
cd04e4bf,33,42056,504676,salaried,2,1,708,0.2207,0,0.3085,0
b97af0ef,28,32127,385534,salaried,1,0,642,0.5965,0,0.278,1
781b07f6,47,55425,665108,business,1,2,900,0.4869,0,0.1516,0
e0c2af8d,33,12493,149925,student,2,2,615,0.1254,0,0.346,0
0804635b,30,41100,493211,salaried,0,1,706,0.5526,0,0.2127,1
d035e0a5,31,49814,597773,salaried,4,1,761,0.5987,0,0.1974,1
ad1453e0,40,18235,218828,self_employed,1,1,669,0.145,0,0.2634,0
667e1926,38,17955,215462,salaried,0,0,679,0.277,0,0.6112,0
801996ee,39,54844,658136,salaried,1,4,618,0.1071,0,0.2289,0
06fd7dce,39,59373,712485,salaried,0,3,689,0.3062,0,0.1374,0
