session_id,declared_age,video_estimated_age,age_discrepancy,location_mismatch_km,face_liveness_score,speech_consistency_score,device_fingerprint_seen_before,application_speed_seconds,fraud_label
95fda963-458,29,37,8,12.7,0.8466,0.9206,1,87.2,0
62114362-140,25,18,7,9.3,0.7493,0.5881,0,148.4,0
c762c467-15e,25,24,1,9.8,0.8692,0.6404,1,59.7,0
09864fa3-ad4,52,64,12,0.6,0.8811,0.5875,1,197.5,0
0c346546-7a6,54,47,7,9.6,0.9101,0.7519,1,175.4,0
ded32c43-d0e,35,25,10,3.7,0.6112,0.9458,1,132.3,0
1e6fec57-24a,46,55,9,4.3,0.6232,0.9529,1,137.1,0
1253c09f-ade,37,30,7,14.4,0.8325,0.9717,0,118.9,0
57f4c9ac-f87,59,58,1,3.8,0.7163,0.3729,1,48.2,0
7f482a6c-bea,33,26,7,6.5,0.7783,0.824,0,180.7,0
09746c11-ada,28,23,5,7.5,0.9503,0.8308,0,84.2,0
fc66d834-f56,56,53,3,2.1,0.9831,0.8264,1,174.5,0
176a9ef7-f55,46,50,4,8.1,0.8539,0.6831,1,75.4,0
9681c410-2e9,62,70,8,11.7,0.5527,0.955,1,131.6,0
fce7e174-228,63,67,4,1.5,0.8757,0.785,1,72.5,0
e2bbaf8c-04c,37,38,1,32.2,0.721,0.7287,0,48.3,0
b0235dad-2e8,40,37,3,9.6,0.9355,0.84,1,144.3,0
82f4563e-1f8,59,53,6,8.5,0.6952,0.7505,1,162.0,0
e217cd50-d9a,22,32,10,25.2,0.676,0.9045,1,133.4,0
332d94e4-52b,51,40,11,26.1,0.5609,0.3287,1,107.6,0
30cff985-f9b,49,40,9,3.3,0.5749,0.6147,0,148.6,1
3fbd3e7c-099,47,47,0,13.6,0.9569,0.5307,0,130.4,0
e18a1521-eb7,57,51,6,30.4,0.5684,0.3176,0,189.7,0
8e2f49a9-e95,64,58,6,45.3,0.7312,0.498,1,142.9,0
83660808-9d7,31,36,5,42.2,0.8562,0.4269,1,208.0,0
c87f5ef4-c7b,55,62,7,20.4,0.7442,0.8247,1,78.2,0
d3c529e7-f43,33,41,8,31.9,0.7768,0.7996,1,115.7,0
4f0d3c67-ae3,29,24,5,15.9,0.8818,0.5937,1,70.3,0
9f5a8696-038,22,18,4,4.4,0.7074,0.9158,1,100.6,0
00b4ffee-560,32,39,7,2.7,0.8006,0.7378,1,143.5,0
ee2576d9-2cc,49,45,4,14.0,0.9591,0.8775,0,121.3,0
54d80ceb-c9c,32,44,12,6.8,0.5363,0.9789,0,125.6,0
c13d53a1-853,59,69,10,12.8,0.9326,0.616,1,151.5,0
f3df56ab-060,26,24,2,1.5,0.7399,0.8904,1,95.7,0
6aeba9d0-073,40,33,7,36.0,0.8109,0.4029,0,149.5,0
96c6822c-3cf,43,37,6,10.9,0.9379,0.2627,1,164.2,0
dc94e998-83a,27,38,11,4.5,0.5898,0.6418,1,170.5,1
7a444d9b-043,61,70,9,6.0,0.6636,0.5431,1,113.7,0
9390a9e4-4b8,43,34,9,9.0,0.7867,0.7981,1,132.8,0
cf8c5fb8-06a,39,49,10,45.0,0.7517,0.661,1,82.1,0
efa1ec0c-322,53,54,1,5.4,0.9112,0.7981,1,65.5,0
5472b723-bff,28,32,4,12.5,0.4988,0.9856,1,159.9,0
aae08dc7-4a9,48,50,2,6.8,0.4321,0.2891,0,137.3,0
8f479a3d-6d8,26,23,3,2.8,0.4957,0.6191,1,10.0,0
c4027a65-175,41,42,1,9.6,0.8063,0.9006,1,54.1,0
77ceb2be-a73,34,34,0,10.1,0.8661,0.8731,0,91.3,0
a9e0931c-f79,51,60,9,12.8,0.8569,0.7226,1,163.7,0
82369cf4-0ae,53,48,5,3.9,0.8491,0.6575,0,116.4,0
dc9e8c50-2e8,62,70,8,12.7,0.6799,0.6566,1,116.9,0
9ca82e47-d43,44,42,2,12.0,0.8058,0.8973,1,109.4,0
bc0f6b19-40a,35,32,3,47.6,0.671,0.9685,1,109.7,0
b16e737a-3ac,39,47,8,8.2,0.5961,0.7913,1,161.7,0
3e84c533-46a,28,30,2,20.9,0.6993,0.9861,1,73.3,0
b45ad426-fb6,57,60,3,7.7,0.8976,0.674,0,102.6,0
6cde3a24-0bf,62,52,10,20.6,0.8391,0.7274,1,60.6,0
02176a03-4bf,29,21,8,8.0,0.777,0.7388,1,129.3,0
adecd489-0f0,30,29,1,5.2,0.6147,0.6535,1,67.5,0
938a1603-b4a,29,39,10,9.4,0.9292,0.6363,1,124.6,0
b111a076-137,32,29,3,8.0,0.8317,0.7081,1,189.7,0
e7465660-189,59,59,0,7.8,0.8391,0.8947,1,217.5,0
de0858c5-ab5,59,58,1,2.6,0.7339,0.6539,0,91.7,0
73b04321-181,54,42,12,10.3,0.9892,0.7079,1,150.8,0
fb99b743-e88,35,47,12,16.6,0.4841,0.8522,1,100.3,0
d4efe554-830,39,50,11,4.9,0.906,0.1208,1,83.0,0
234cd2a4-71f,22,24,2,1.2,0.9819,0.5376,0,162.4,0
8c638a5d-72e,27,18,9,29.3,0.8569,0.7858,0,113.2,0
1f3b224b-313,50,61,11,7.0,0.786,0.5992,1,210.5,0
d0c92a81-1b4,36,31,5,14.3,0.7027,0.6943,1,161.0,0
b3b090eb-890,52,43,9,8.7,0.8698,0.9537,0,92.7,0
23f6aff7-554,51,60,9,9.3,0.5617,0.6187,1,81.5,0
069489ab-b1e,38,27,11,19.3,0.9196,0.7157,1,111.8,0
05b052a2-a79,52,45,7,30.0,0.759,0.974,1,104.9,0
6d52be85-f70,55,59,4,2.3,0.763,0.8412,0,168.3,0
b0755474-2f6,41,32,9,14.3,0.9821,0.6622,1,78.7,0
89f01673-750,42,34,8,4.8,0.9341,0.9137,0,77.6,0
c7e9581f-9ac,40,28,12,19.6,0.8153,0.6388,0,143.8,0
7599db5e-0b5,48,57,9,12.6,0.739,0.8163,0,111.6,0
0a2cb10b-c32,41,40,1,1.5,0.7386,0.4313,1,49.2,0
3b1590ce-f82,21,23,2,16.8,0.99,0.5499,1,214.4,0
679b6c5a-e67,56,52,4,21.2,0.4433,0.6383,0,93.9,0
043f9bc1-151,62,55,7,4.3,0.8991,0.5988,1,22.2,0
3368f65e-f94,52,61,9,2.3,0.5876,0.6858,1,93.2,0
5a4297d5-3d5,23,20,3,1.4,0.979,0.8121,1,149.4,0
73d8cb24-2a3,61,52,9,4.8,0.9359,0.66,1,173.4,0
0f72f3c0-78a,24,36,12,31.8,0.821,0.7447,1,179.1,0
2456e5ef-aad,33,34,1,7.9,0.9,0.713,0,130.7,0
2bfce5be-3fc,46,50,4,7.6,0.8542,0.9754,1,116.6,0
8a9fc187-f13,52,52,0,28.9,0.8964,0.6452,0,82.4,0
61d69793-222,46,54,8,30.9,0.8138,0.9028,1,112.2,0
feb3cdb1-8c0,60,62,2,25.3,0.6549,0.8797,1,19.5,0
6ceede06-c65,22,22,0,10.1,0.523,0.3522,1,131.5,0
c1ea3cfb-cec,36,36,0,20.0,0.9128,0.602,1,140.5,0
42493792-63f,37,40,3,9.7,0.5397,0.8809,1,122.1,0
e5a73d8a-b1f,36,39,3,13.5,0.9298,0.733,1,72.5,0
7a3ef00a-57b,39,44,5,16.4,0.7851,0.7407,1,172.5,0
23efc00c-264,34,32,2,29.2,0.9608,0.8133,1,111.1,0
f07e1ab0-df9,32,26,6,7.6,0.5231,0.2831,0,93.0,0
ce7c46b0-f87,33,25,8,41.6,0.9369,0.9594,1,212.0,0
84a7b070-09d,54,60,6,3.8,0.7264,0.6272,0,176.6,0
bf69946b-d91,50,53,3,16.6,0.9726,0.9099,1,138.8,0
cfa316ba-08c,59,48,11,8.9,0.7373,0.9281,0,97.2,0
9d8c9b8e-71c,28,32,4,5.5,0.9204,0.9183,1,120.5,0
bc324b05-350,57,67,10,5.0,0.9526,0.5936,0,124.6,0
64d0f69b-97e,64,75,11,27.8,0.9291,0.825,0,99.2,0
c0f9ae50-7d5,26,18,8,33.2,0.8152,0.9781,0,230.0,0
45319c47-be5,50,44,6,1.7,0.9809,0.6601,0,102.6,0
d6cf9523-8a2,42,37,5,6.1,0.5514,0.8501,1,105.6,0
e405b9c8-991,54,56,2,20.9,0.697,0.3355,0,140.6,0
71c7b39e-cb8,28,36,8,9.9,0.8932,0.9773,1,157.1,0
2a56aab1-7c4,63,61,2,8.6,0.7365,0.8643,0,119.7,0
930bbe0a-5b8,54,53,1,2.0,0.8984,0.818,0,114.5,0
627b831f-0ea,23,23,0,12.1,0.7804,0.7481,0,174.5,0
5355a089-daa,50,49,1,5.3,0.9859,0.712,1,155.2,0
00cc066f-c7a,41,50,9,30.0,0.5875,0.8897,1,199.4,0
43af6e86-faa,27,34,7,1.3,0.8696,0.6641,1,100.2,0
4ad4385b-f1e,52,58,6,9.0,0.8454,0.8071,1,146.3,0
2e716928-7ee,58,68,10,30.1,0.9331,0.8773,0,107.8,0
c16f33db-47e,48,59,11,4.0,0.9758,0.7514,0,128.7,0
759b1c4e-bb1,36,36,0,19.0,0.8425,0.7478,1,142.2,0
d4bd5996-5e3,45,38,7,11.4,0.7665,0.6152,1,120.1,0
ace7b739-ca2,28,34,6,78.0,0.77,0.6998,1,97.9,0
2512db9e-60c,54,53,1,9.1,0.6368,0.48,1,103.0,0
76539ba5-8fe,45,56,11,12.5,0.9611,0.4926,1,125.2,0
