credit_score,monthly_income,employment_type,loan_purpose,approved_amount,interest_rate,tenure_months,emi,income_multiplier
776,46967,salaried,home,376000,9.72,12,32984.34,8
768,41133,salaried,personal,329000,9.96,60,6985.27,8
797,72154,salaried,education,577000,9.5,36,18490.44,8
691,27545,salaried,home,138000,12.27,36,4592.36,5
631,63109,salaried,vehicle,316000,14.07,60,7353.72,5
758,36588,salaried,vehicle,293000,10.26,60,6256.69,8
580,26583,self_employed,education,45000,15.6,48,1271.52,2
641,39167,salaried,medical,196000,13.77,12,17562.37,5
723,24485,student,medical,61000,11.31,12,5419.08,5
750,61029,salaried,education,305000,10.5,12,26898.14,5
768,29227,self_employed,personal,199000,9.96,12,17469.62,8
667,25525,business,home,115000,12.99,48,3081.01,5
831,36465,self_employed,education,248000,9.5,36,7943.09,8
650,34924,business,vehicle,157000,13.5,12,14074.05,5
725,34778,salaried,personal,174000,11.25,36,5713.56,5
630,46832,salaried,home,234000,14.1,36,8014.53,5
744,23504,salaried,vehicle,118000,10.68,24,5460.12,5
720,22280,self_employed,vehicle,95000,11.4,36,3118.05,5
719,17328,salaried,personal,87000,11.43,60,1902.42,5
547,69642,salaried,medical,139000,16.59,12,12676.35,2
597,76502,self_employed,personal,130000,15.09,48,3625.43,2
710,46841,business,vehicle,211000,11.7,48,5519.82,5
645,52127,self_employed,personal,222000,13.65,60,5114.77,5
853,38110,salaried,business,305000,9.5,12,26733.34,8
690,73456,student,business,184000,12.3,36,6125.86,5
645,50865,self_employed,home,216000,13.65,24,10343.74,5
653,37706,salaried,vehicle,189000,13.41,48,5096.28,5
675,37975,self_employed,home,161000,12.75,60,3651.6,5
694,29059,business,vehicle,131000,12.18,60,2920.81,5
622,47197,self_employed,business,201000,14.34,60,4702.77,5
752,80695,salaried,personal,646000,10.44,60,13856.57,8
670,42541,salaried,home,213000,12.9,60,4828.88,5
711,19611,salaried,education,98000,11.67,12,8697.33,5
627,37589,salaried,business,188000,14.19,48,5153.94,5
593,28768,salaried,home,58000,15.21,60,1375.17,2
775,33000,self_employed,vehicle,224000,9.75,12,19702.35,8
763,31291,self_employed,vehicle,213000,10.11,24,9829.55,8
805,53170,salaried,home,425000,9.5,36,13625.67,8
682,22436,self_employed,home,95000,12.54,48,2536.41,5
738,18732,self_employed,personal,80000,10.86,48,2052.28,5
810,44341,salaried,education,355000,9.5,12,31104.41,8
683,20219,salaried,medical,101000,12.51,60,2274.96,5
750,24132,business,vehicle,109000,10.5,36,3529.65,5
727,29837,salaried,personal,149000,11.19,24,6966.48,5
804,40391,salaried,education,323000,9.5,60,6786.34,8
668,75772,business,vehicle,341000,12.96,12,30448.72,5
713,30351,salaried,education,152000,11.61,24,7116.04,5
522,19191,salaried,medical,38000,17.34,60,960.93,2
622,25374,student,vehicle,63000,14.34,60,1487.26,5
753,37972,business,business,273000,10.41,24,12668.04,8
826,24541,student,home,98000,9.5,48,2466.24,8
797,33660,self_employed,vehicle,229000,9.5,60,4807.11,8
791,30151,salaried,education,241000,9.5,60,5065.97,8
760,48398,salaried,personal,387000,10.2,48,9857.24,8
576,38256,self_employed,home,65000,15.72,36,2277.48,2
708,54521,salaried,medical,273000,11.76,12,24190.3,5
670,40654,self_employed,personal,173000,12.9,48,4626.69,5
761,31682,salaried,education,253000,10.17,36,8198.67,8
598,52480,salaried,vehicle,105000,15.06,36,3641.61,2
601,21834,self_employed,medical,93000,14.97,48,2581.24,5
645,42554,salaried,medical,213000,13.65,36,7235.89,5
